Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
04/15/2021, 11:59:33, 0., 0., -65536, 0, 0.0, 0.0, 30, 0, 63, 0, 0
04/15/2021, 12:06:05, 0., 0., -65536, 0, 0.0, 0.0, 24, 0, 63, 0, 0
04/15/2021, 12:12:37, 0., 0., -65536, 0, 0.0, 0.0, 21, 0, 63, 0, 0
04/15/2021, 12:19:09, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 12:25:41, 0., 0., -65536, 0, 0.0, 0.0, 19, 0, 63, 0, 0
04/15/2021, 12:32:12, 0., 0., -65536, 0, 0.0, 0.0, 18, 0, 63, 0, 0
04/15/2021, 12:38:44, 0., 0., -65536, 0, 0.0, 0.0, 18, 0, 63, 0, 0
04/15/2021, 12:45:16, 0., 0., -65536, 0, 0.0, 0.0, 18, 0, 63, 0, 0
04/15/2021, 12:51:48, 0., 0., -65536, 0, 0.0, 0.0, 18, 0, 63, 0, 0
04/15/2021, 12:58:19, 0., 0., -65536, 0, 0.0, 0.0, 19, 0, 63, 0, 0
04/15/2021, 13:04:51, 0., 0., -65536, 0, 0.0, 0.0, 19, 0, 63, 0, 0
04/15/2021, 13:11:23, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 13:17:55, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 13:24:27, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 13:30:58, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 13:37:30, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 13:44:02, 0., 0., -65536, 0, 0.0, 0.0, 21, 0, 63, 0, 0
04/15/2021, 13:50:33, 0., 0., -65536, 0, 0.0, 0.0, 22, 0, 63, 0, 0
04/15/2021, 13:57:05, 0., 0., -65536, 0, 0.0, 0.0, 21, 0, 63, 0, 0
04/15/2021, 14:03:37, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 14:10:09, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 14:16:41, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 14:23:12, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 14:29:44, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 14:36:16, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 14:42:48, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 14:49:19, 0., 0., -65536, 0, 0.0, 0.0, 20, 0, 63, 0, 0
04/15/2021, 14:55:51, 0., 0., -65536, 0, 0.0, 0.0, 19, 0, 63, 0, 0
04/15/2021, 15:02:23, 0., 0., -65536, 0, 0.0, 0.0, 19, 0, 63, 0, 0
04/15/2021, 15:08:55, 0., 0., -65536, 0, 0.0, 0.0, 18, 0, 63, 0, 0
04/15/2021, 15:15:27, 0., 0., -65536, 0, 0.0, 0.0, 19, 0, 63, 0, 0
04/15/2021, 15:21:58, 0., 0., -65536, 0, 0.0, 0.0, 19, 0, 63, 0, 0
04/15/2021, 15:27:30, 51.8902433, -8.48963, 40, 7, 1.3, 1.6, 20, 22.224, 29, 31, 44
04/15/2021, 15:32:41, 51.8983283, -8.4646483, 102, 6, 1.8, 2.0, 21, 5.556, 9, 35, 42
04/15/2021, 15:37:51, 51.89951, -8.44201, 36, 7, 1.3, 1.6, 20, 25.928, 8, 33, 38
04/15/2021, 15:42:56, 51.9005017, -8.4297867, 44, 5, 1.7, 2.0, 18, 12.964, 2, 30, 35
04/15/2021, 15:48:06, 51.89021, -8.411455, 42, 7, 1.3, 1.6, 16, 20.372, 8, 34, 43
04/15/2021, 15:53:13, 51.8777267, -8.3926517, 36, 6, 1.5, 1.7, 16, 22.224, 5, 37, 44
04/15/2021, 15:58:19, 51.8709417, -8.388365, 54, 6, 1.5, 1.8, 15, 3.704, 4, 32, 40
04/15/2021, 16:04:02, 51.8667567, -8.3906917, 148, 7, 1.3, 1.7, 14, 11.112, 40, 27, 34
04/15/2021, 16:09:08, 51.8625217, -8.3891883, 154, 6, 1.5, 1.7, 14, 3.704, 4, 28, 36
04/15/2021, 16:14:17, 51.8620433, -8.3891367, 174, 7, 1.4, 1.7, 13, 5.556, 7, 28, 37
04/15/2021, 16:19:26, 51.8617483, -8.38901, 188, 7, 1.4, 1.7, 13, 11.112, 6, 27, 37
04/15/2021, 16:24:34, 51.8597517, -8.387295, 146, 7, 1.5, 1.8, 13, 3.704, 6, 30, 38
04/15/2021, 16:29:43, 51.860105, -8.3883733, 140, 7, 1.6, 1.8, 13, 1.852, 6, 31, 40
04/15/2021, 16:34:49, 51.8598533, -8.3890233, 150, 7, 1.6, 1.9, 13, 3.704, 4, 28, 37
