Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
06/30/2021, 00:34:35,52.1352417,-6.5903983,-2,9,0.9,1.2,29,0,4,36,40
06/30/2021, 00:39:42,52.1352017,-6.59037,-22,8,0.9,1.2,29,0,5,28,41
06/30/2021, 00:44:50,52.13528,-6.5904617,-30,7,1.1,1.3,29,0,5,33,38
06/30/2021, 00:50:00,52.135185,-6.590515,-30,6,2.1,2.2,28,0,8,35,39
06/30/2021, 00:55:06,52.13561,-6.6001433,-32,11,0.7,1,20,1.852,4,26,32
06/30/2021, 01:00:12,52.13637,-6.6026233,-28,11,0.7,1,21,38.892,3,35,40
06/30/2021, 01:05:17,52.141155,-6.64358,-42,11,0.7,1,20,0,4,34,41
06/30/2021, 01:10:23,52.14082,-6.6441333,14,10,0.8,1.1,24,0,3,33,40
06/30/2021, 01:15:29,52.140505,-6.64445,8,11,0.8,1,26,0,5,33,41
06/30/2021, 01:20:35,52.1399633,-6.64503,6,10,0.8,1.1,27,1.852,3,35,41
06/30/2021, 01:25:42,52.13948,-6.64537,0,10,0.8,1.1,27,0,4,35,38
06/30/2021, 01:30:47,52.1390033,-6.6456733,4,11,0.7,1,27,0,3,34,40
06/30/2021, 01:35:53,52.1385867,-6.64615,4,9,0.8,1.1,27,0,4,34,41
06/30/2021, 01:41:03,52.138075,-6.6469967,-6,9,0.8,1.1,27,0,7,35,38
06/30/2021, 01:46:32,52.13754,-6.64731,-2,9,0.9,1.2,27,0,26,32,40
06/30/2021, 01:51:34,52.1369783,-6.6481917,-8,5,2.6,2.8,26,11.112,0,35,40
06/30/2021, 01:56:39,52.136335,-6.648885,0,8,1,1.3,25,0,3,36,39
06/30/2021, 02:01:44,52.1358783,-6.6498467,-6,9,0.9,1.2,24,0,3,35,40
06/30/2021, 02:06:52,52.1354667,-6.6505583,-8,9,0.9,1.2,25,0,6,35,40
06/30/2021, 02:11:57,52.1351517,-6.65126,-10,9,0.9,1.2,26,0,3,34,39
06/30/2021, 02:17:03,52.13483,-6.6521583,-4,9,0.9,1.2,27,0,3,34,40
06/30/2021, 02:22:08,52.1344917,-6.6531167,-8,10,0.8,1.1,27,0,3,35,39
06/30/2021, 02:27:14,52.1341883,-6.654175,-8,10,0.8,1.1,27,0,3,34,39
06/30/2021, 02:32:19,52.1340033,-6.6551783,-8,11,0.7,1,27,0,3,35,39
06/30/2021, 02:37:24,52.1322283,-6.6572583,0,10,0.8,1.1,26,40.744,2,34,41
06/30/2021, 02:42:28,52.1295933,-6.6715717,-6,10,0.8,1.1,22,0,2,36,42
06/30/2021, 02:47:33,52.1291717,-6.6728267,-4,10,0.8,1.1,24,0,2,37,42
06/30/2021, 02:52:37,52.12856,-6.67404,-16,10,0.7,1.1,25,1.852,2,36,40
06/30/2021, 02:57:42,52.128,-6.675325,-16,10,0.7,1.1,24,0,2,36,40
06/30/2021, 03:02:46,52.1275967,-6.676205,-4,10,0.7,1.1,25,0,2,36,41
06/30/2021, 03:07:51,52.1273183,-6.67763,0,10,0.8,1.1,24,0,2,32,38
06/30/2021, 03:12:55,52.1268267,-6.678995,-12,9,0.8,1.2,24,0,2,36,42
06/30/2021, 03:18:00,52.1116933,-6.6846167,-6,9,0.8,1.2,20,44.448,2,35,40
06/30/2021, 03:23:17,52.0919183,-6.678265,0,6,1.2,1.5,20,1.852,15,36,39
06/30/2021, 03:28:20,52.0877117,-6.67849,0,6,1.2,1.5,21,42.596,1,35,41
06/30/2021, 03:33:23,52.08106,-6.6775333,-14,6,1.2,1.5,20,38.892,1,36,41
