Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
07/19/2021, 22:58:18,52.13974,-6.5880167,16,5,2.9,3,24,0,34,29,39
07/19/2021, 23:03:37,52.1398083,-6.5879767,10,5,3.3,3.4,28,1.852,17,31,39
07/19/2021, 23:08:49,52.1397183,-6.5880017,16,5,3.7,3.8,29,0,10,30,35
07/19/2021, 23:14:03,52.1396817,-6.58799,14,4,5.2,5.3,29,0,11,30,34
07/19/2021, 23:19:14,52.1396683,-6.5879983,18,4,5.5,5.6,29,0,9,30,36
07/19/2021, 23:24:26,52.139765,-6.5880367,6,4,5.3,5.4,29,1.852,10,30,36
07/19/2021, 23:29:38,52.1397133,-6.5880317,10,4,4.7,4.8,29,1.852,10,30,35
07/19/2021, 23:34:51,52.1397517,-6.58805,14,4,4,4.1,30,3.704,10,33,36
07/19/2021, 23:40:01,52.13961,-6.5880483,18,4,3.4,3.5,30,0,8,32,36
07/19/2021, 23:45:13,52.1397183,-6.588005,14,4,3,3.1,30,0,10,31,37
07/19/2021, 23:50:25,52.1397267,-6.5880017,14,4,2.6,2.8,30,0,10,34,36
07/19/2021, 23:55:39,52.1396867,-6.5879883,10,4,2.3,2.5,30,0,11,34,36
07/20/2021, 00:00:51,52.1397483,-6.5879733,22,4,2.1,2.4,30,0,10,34,36
07/20/2021, 00:06:01,52.1397817,-6.587925,42,4,2,2.2,30,0,8,33,35
07/20/2021, 00:11:13,52.1397383,-6.5879583,14,4,1.9,2.1,30,0,10,33,35
07/20/2021, 00:16:26,52.1396983,-6.58798,8,4,1.8,2,30,0,11,32,35
07/20/2021, 00:21:39,52.139725,-6.5879833,6,4,1.7,2,30,0,10,33,35
07/20/2021, 00:26:52,52.1397317,-6.5879617,12,4,1.7,2,30,1.852,11,33,36
07/20/2021, 00:32:31,52.13966,-6.588085,0,5,1.3,1.6,30,0,37,31,36
07/20/2021, 00:37:43,52.1410833,-6.5967833,-4,5,1.3,1.6,24,0,10,37,40
07/20/2021, 00:42:55,52.141235,-6.5965233,0,6,1.1,1.4,22,1.852,10,35,39
07/20/2021, 00:48:08,52.1398767,-6.61112,-6,4,3.7,3.8,22,1.852,10,34,41
07/20/2021, 00:53:19,52.1396767,-6.608865,-8,5,1.3,1.6,22,1.852,9,37,40
07/20/2021, 00:58:39,52.139545,-6.6074767,0,5,1.2,1.5,21,0,18,35,40
07/20/2021, 01:03:49,52.1374633,-6.62856,-4,6,1,1.3,22,0,8,33,39
07/20/2021, 01:09:02,52.1375533,-6.6305733,0,6,1,1.3,22,0,10,33,39
07/20/2021, 01:14:15,52.1368383,-6.6408717,-4,5,1.2,1.5,22,1.852,11,31,39
07/20/2021, 01:19:25,52.1341083,-6.6598633,-2,6,1,1.3,22,46.3,8,37,42
07/20/2021, 01:24:37,52.1236433,-6.7164983,-2,6,1,1.3,22,46.3,10,36,41
07/20/2021, 01:29:50,52.11084,-6.7706917,-4,6,1,1.3,23,44.448,10,37,41
07/20/2021, 01:35:03,52.0974,-6.8232183,-4,6,1,1.2,23,44.448,11,36,40
07/20/2021, 01:40:13,52.0894983,-6.87607,0,5,1.2,1.4,23,44.448,8,37,40
07/20/2021, 01:45:26,52.08779,-6.89491,-2,4,2,2.2,24,0,11,36,40
07/20/2021, 01:50:49,52.08853,-6.895335,0,4,2,2.2,24,0,21,34,39
07/20/2021, 01:56:03,52.0893717,-6.89527,-10,4,2,2.2,24,0,11,32,38
07/20/2021, 02:01:56,52.08988,-6.8947933,0,5,1.4,1.7,23,1.852,51,33,38
07/20/2021, 02:07:07,52.0920183,-6.8953717,0,5,1.4,1.7,23,33.336,9,36,40
07/20/2021, 02:12:20,52.086385,-6.9497483,2,5,1.5,1.7,23,42.596,11,37,41
07/20/2021, 02:17:32,52.0819933,-7.0065033,0,5,1.5,1.7,23,48.152,9,37,40
07/20/2021, 02:22:43,52.08578,-7.0600967,0,4,2.3,2.4,23,40.744,9,36,40
07/20/2021, 02:27:55,52.0839783,-7.1139833,0,5,1.5,1.7,24,42.596,10,36,40
07/20/2021, 02:33:07,52.08426,-7.14021,4,5,1.5,1.8,24,0,10,35,40
07/20/2021, 02:38:20,52.0845567,-7.140355,2,4,2.3,2.5,26,0,10,33,39
07/20/2021, 02:43:32,52.0846417,-7.14047,6,4,2.3,2.5,27,1.852,10,33,39
07/20/2021, 02:48:43,52.0849533,-7.1404817,6,4,2.3,2.5,28,0,9,32,39
07/20/2021, 02:54:18,52.0855033,-7.1402317,2,7,1.2,1.4,28,0,33,32,40
07/20/2021, 02:59:31,52.0856083,-7.140125,0,7,1.2,1.4,28,0,11,33,40
07/20/2021, 03:04:44,52.0858917,-7.13998,4,7,1.2,1.4,28,0,10,34,39
07/20/2021, 03:09:55,52.0860933,-7.139855,6,7,1.1,1.4,27,0,9,33,40
07/20/2021, 03:15:07,52.0878883,-7.1444067,0,7,1.1,1.4,26,0,10,35,40
07/20/2021, 03:20:20,52.0878717,-7.14407,4,7,1.1,1.3,27,0,10,33,40
07/20/2021, 03:25:31,52.0877167,-7.1440917,-2,6,1.3,1.6,27,0,9,34,38
07/20/2021, 03:30:43,52.0876233,-7.1440083,0,6,1.3,1.6,28,0,10,35,42
07/20/2021, 03:35:55,52.08741,-7.1438767,-8,6,1.3,1.6,27,0,10,34,41
07/20/2021, 03:41:08,52.0865533,-7.15338,0,6,1.3,1.5,26,37.04,10,36,40
07/20/2021, 03:46:19,52.0862717,-7.15393,-12,5,2,2.2,24,0,9,33,39
07/20/2021, 03:51:31,52.08597,-7.15342,-2,6,1.2,1.5,25,0,10,32,39
07/20/2021, 03:56:43,52.0857883,-7.153125,-12,5,1.8,2.1,24,0,10,35,41
07/20/2021, 04:01:56,52.0858267,-7.15599,-4,5,1.8,2,23,0,10,34,39
07/20/2021, 04:07:08,52.0840867,-7.192425,-12,5,1.7,2,23,42.596,10,36,40
07/20/2021, 04:12:19,52.0858217,-7.2450483,-8,5,1.7,1.9,23,40.744,9,37,41
07/20/2021, 04:17:31,52.0873617,-7.2672017,-12,5,1.7,1.9,24,0,10,34,40
07/20/2021, 04:22:43,52.0874417,-7.2676867,-10,5,1.6,1.9,26,0,10,34,39
07/20/2021, 04:27:56,52.0874417,-7.2680783,-10,5,1.6,1.9,28,0,10,33,39
07/20/2021, 04:33:07,52.08759,-7.2685433,-14,5,1.6,1.9,29,0,9,36,41
07/20/2021, 04:38:19,52.0877683,-7.2690867,-10,5,1.6,1.9,29,0,10,34,41
07/20/2021, 04:43:32,52.0878883,-7.2683317,-14,5,1.6,1.9,26,0,11,35,40
07/20/2021, 04:48:44,52.0884367,-7.268765,-12,4,5.8,5.9,27,0,9,36,41
07/20/2021, 04:53:56,52.0889317,-7.2678533,-20,4,4.9,5,27,25.928,10,34,40
07/20/2021, 04:59:07,52.0882583,-7.2679817,-10,4,4.2,4.3,26,0,9,35,41
07/20/2021, 05:04:19,52.0882467,-7.2676133,-12,4,3.6,3.8,26,0,10,36,39
07/20/2021, 05:09:33,52.0883433,-7.26748,-10,4,3.2,3.3,27,0,11,34,38
07/20/2021, 05:14:44,52.08821,-7.2673967,-12,4,2.8,3,24,0,9,33,39
07/20/2021, 05:20:13,52.08788,-7.2674017,-24,4,2.6,2.7,24,0,27,30,38
07/20/2021, 05:25:25,52.0873983,-7.2741033,-12,4,2.3,2.5,24,44.448,10,34,38
07/20/2021, 05:30:39,52.0951667,-7.3102283,-12,4,2.1,2.3,24,46.3,11,35,39
07/20/2021, 05:35:56,52.08153,-7.3511833,-14,4,2,2.2,24,46.3,15,32,39
07/20/2021, 05:41:09,52.06451,-7.3821883,-12,4,1.9,2.1,24,0,11,34,38
07/20/2021, 05:46:20,52.0608983,-7.4093783,-14,4,1.8,2,24,0,9,33,38
07/20/2021, 05:51:39,52.0606517,-7.410285,-18,4,1.7,1.9,27,0,16,32,39
07/20/2021, 05:57:02,52.060555,-7.41089,-10,4,1.6,1.8,29,0,21,34,40
07/20/2021, 06:02:30,52.0607733,-7.4117417,-4,8,0.8,1.1,30,0,26,32,38
07/20/2021, 06:07:44,52.0608317,-7.4123717,-2,7,0.9,1.2,30,0,11,35,39
07/20/2021, 06:12:55,52.0610867,-7.4129783,2,5,1.3,1.6,30,0,9,34,39
07/20/2021, 06:18:07,52.061105,-7.4132317,4,6,1,1.3,30,0,10,34,39
07/20/2021, 06:23:19,52.0611333,-7.413435,0,7,0.9,1.2,30,0,10,33,39
07/20/2021, 06:28:32,52.06186,-7.4042767,6,7,0.9,1.3,28,1.852,10,33,38
07/20/2021, 06:33:44,52.0617317,-7.4050967,0,7,0.9,1.3,28,0,10,30,38
07/20/2021, 06:38:55,52.0616867,-7.4057517,4,6,1,1.4,28,0,9,33,38
07/20/2021, 06:44:07,52.08126,-7.3978117,4,6,1.1,1.4,24,35.188,10,35,39
07/20/2021, 06:49:19,52.1052717,-7.3850867,0,5,1.2,1.5,25,33.336,10,35,40
07/20/2021, 06:54:32,52.1172033,-7.4062283,2,6,1.1,1.4,25,44.448,10,35,40
07/20/2021, 06:59:43,52.0986867,-7.4447833,4,6,1.1,1.4,25,38.892,9,36,40
07/20/2021, 07:04:55,52.0784517,-7.4299183,6,6,1.1,1.4,25,0,10,35,38
07/20/2021, 07:10:07,52.078895,-7.4304783,0,5,1.2,1.5,28,0,10,33,39
07/20/2021, 07:15:20,52.0786317,-7.43139,2,5,1.6,1.9,30,0,10,33,40
07/20/2021, 07:20:31,52.0783833,-7.4318017,4,6,1.1,1.4,30,0,9,34,40
07/20/2021, 07:25:43,52.07816,-7.4324683,0,5,1.7,1.9,31,0,10,34,39
07/20/2021, 07:30:55,52.0780117,-7.4328733,4,5,1.7,1.9,31,0,10,33,39
07/20/2021, 07:36:03,52.07797,-7.433475,0,5,1.7,1.9,32,0,5,35,40
07/20/2021, 07:41:09,52.0780733,-7.434215,20,5,1.4,1.7,32,1.852,4,33,38
07/20/2021, 07:46:22,52.0782167,-7.434815,14,5,1.3,1.5,33,0,11,33,40
07/20/2021, 07:51:28,52.0782667,-7.4356133,12,5,1.5,1.7,33,0,4,35,39
07/20/2021, 07:56:37,52.0786867,-7.4360433,18,5,1.5,1.7,33,1.852,7,33,39
07/20/2021, 08:01:42,52.0888683,-7.42112,10,5,1.6,1.8,27,40.744,3,35,40
07/20/2021, 08:06:47,52.0894083,-7.39323,14,5,1.6,1.8,25,38.892,3,35,38
07/20/2021, 08:11:58,52.0871867,-7.4109667,12,4,1.9,2.1,27,0,8,33,38
07/20/2021, 08:17:13,52.0881667,-7.41157,24,4,2,2.2,28,0,13,33,39
07/20/2021, 08:22:25,52.0886533,-7.4127433,22,5,1.6,1.8,30,1.852,10,33,39
07/20/2021, 08:27:37,52.0893283,-7.4138467,0,4,2.1,2.3,32,0,10,33,39
07/20/2021, 08:32:47,52.0879433,-7.4154483,4,5,1.6,1.9,32,0,7,33,39
07/20/2021, 08:37:56,52.0928483,-7.4088733,-12,5,1.7,1.9,28,31.484,7,34,41
07/20/2021, 08:43:04,52.0964117,-7.4000717,-22,5,1.7,1.9,29,1.852,6,35,40
07/20/2021, 08:48:19,52.0962967,-7.4016933,2,5,1.7,2,30,1.852,13,33,39
07/20/2021, 08:53:32,52.0971833,-7.4041567,-36,5,1.8,2,32,1.852,10,32,40
07/20/2021, 08:58:45,52.0967467,-7.4048833,38,5,1.8,2,33,1.852,11,32,39
07/20/2021, 09:03:55,52.0980083,-7.4072917,-46,4,2.1,2.3,33,1.852,8,35,39
07/20/2021, 09:09:07,52.0979283,-7.4085633,-24,4,2.1,2.3,33,1.852,10,34,39
07/20/2021, 09:14:19,52.09894,-7.409265,-16,4,2.1,2.3,33,46.3,10,35,39
07/20/2021, 09:19:33,52.097475,-7.4020583,66,4,2.1,2.3,30,0,11,34,37
07/20/2021, 09:24:43,52.09847,-7.405485,-10,4,2.2,2.4,31,1.852,8,37,40
07/20/2021, 09:29:47,52.0844833,-7.3793467,26,7,0.9,1.2,27,37.04,2,33,39
07/20/2021, 09:34:54,52.0685217,-7.3520583,32,6,1,1.3,26,1.852,4,34,40
07/20/2021, 09:39:59,52.0690567,-7.3506433,46,6,1,1.3,28,1.852,3,35,41
07/20/2021, 09:45:05,52.0689867,-7.3515317,40,5,1.7,1.9,28,1.852,3,36,40
07/20/2021, 09:50:10,52.0758667,-7.31872,36,6,1,1.4,26,35.188,3,35,42
07/20/2021, 09:55:15,52.0792533,-7.279865,0,6,1,1.4,26,29.632,3,34,38
07/20/2021, 10:00:21,52.06998,-7.242575,20,6,1.5,1.8,26,37.04,3,36,40
07/20/2021, 10:05:26,52.0579467,-7.204845,22,6,1.5,1.8,27,33.336,3,37,40
07/20/2021, 10:10:32,52.0517033,-7.1640283,12,6,1.5,1.8,27,35.188,3,36,39
07/20/2021, 10:15:38,52.0543583,-7.136175,24,6,1.5,1.8,25,0,4,34,39
07/20/2021, 10:20:45,52.0546983,-7.13797,24,6,1.4,1.7,29,0,4,34,40
07/20/2021, 10:25:53,52.0551467,-7.1396317,24,5,1.7,2,30,0,6,34,39
07/20/2021, 10:30:59,52.05541,-7.11572,10,6,1.3,1.6,27,37.04,4,34,41
07/20/2021, 10:36:07,52.0527767,-7.0748783,32,6,1.3,1.6,27,37.04,5,36,40
07/20/2021, 10:41:14,52.04226,-7.0364133,10,6,1.3,1.6,27,37.04,5,35,41
07/20/2021, 10:46:22,52.0435183,-6.9937333,24,6,1.2,1.5,27,35.188,5,33,40
07/20/2021, 10:51:39,52.0443433,-6.9497083,-8,5,1.3,1.6,27,33.336,14,34,40
07/20/2021, 10:56:51,52.0442417,-6.9081833,-18,4,1.5,1.8,27,33.336,10,36,41
07/20/2021, 11:02:03,52.0518317,-6.8728733,-20,4,1.5,1.8,27,31.484,10,36,40
07/20/2021, 11:07:09,52.065155,-6.8402933,40,4,1.5,1.8,27,29.632,4,35,41
07/20/2021, 11:12:14,52.0744067,-6.8124017,-6,6,0.9,1.2,27,42.596,3,35,39
07/20/2021, 11:17:20,52.0795367,-6.800255,6,6,0.9,1.2,21,1.852,3,30,37
07/20/2021, 11:22:27,52.08044,-6.8029333,-2,6,0.9,1.2,25,0,5,33,38
07/20/2021, 11:27:36,52.0812383,-6.80514,-4,6,0.9,1.2,25,0,6,31,36
07/20/2021, 11:32:41,52.0821,-6.8073517,8,6,0.9,1.2,24,3.704,3,35,41
07/20/2021, 11:37:47,52.08311,-6.809435,6,6,0.9,1.2,27,1.852,3,33,37
07/20/2021, 11:42:52,52.0839733,-6.81141,8,5,1.1,1.4,29,0,3,36,41
07/20/2021, 11:47:57,52.085005,-6.8128467,6,6,0.9,1.3,30,1.852,3,35,40
07/20/2021, 11:53:03,52.085975,-6.8142,0,6,0.9,1.3,30,0,3,34,39
07/20/2021, 11:58:08,52.0870183,-6.81488,8,5,1.4,1.7,31,1.852,3,34,41
07/20/2021, 12:03:14,52.0883117,-6.7996833,10,5,1.4,1.7,24,1.852,3,35,41
07/20/2021, 12:08:22,52.0892283,-6.8005833,0,5,1.5,1.7,21,1.852,6,34,39
07/20/2021, 12:13:43,52.0895067,-6.8022167,14,4,1.9,2.1,22,1.852,19,34,38
07/20/2021, 12:18:56,52.090535,-6.80338,14,4,2,2.2,25,1.852,11,34,39
07/20/2021, 12:24:08,52.0909233,-6.804755,12,4,2,2.2,27,0,9,36,39
07/20/2021, 12:29:20,52.0920567,-6.804725,10,4,2.1,2.3,30,0,10,35,40
07/20/2021, 12:34:32,52.094105,-6.7862367,12,4,2.2,2.4,27,35.188,10,37,40
07/20/2021, 12:39:45,52.1001217,-6.7645933,4,4,2.2,2.4,26,0,10,35,39
07/20/2021, 12:44:56,52.1008417,-6.7641183,8,4,2.3,2.5,29,1.852,9,34,38
07/20/2021, 12:50:07,52.1046283,-6.762435,238,4,2.4,2.6,30,0,9,35,41
07/20/2021, 12:55:20,52.102075,-6.7623217,10,5,1.7,2,30,0,11,33,39
07/20/2021, 13:00:39,52.0994583,-6.760985,8,4,2.7,2.8,26,0,16,36,40
07/20/2021, 13:05:54,52.0818217,-6.75155,0,4,2.8,3,24,31.484,13,35,40
07/20/2021, 13:11:12,52.08874,-6.7263717,8,4,2.9,3.1,25,37.04,16,35,38
07/20/2021, 13:16:36,52.1149283,-6.7125283,-26,4,3.1,3.2,25,37.04,22,36,39
07/20/2021, 13:22:00,52.1230983,-6.7109,0,10,0.9,1.2,24,1.852,22,34,40
07/20/2021, 13:27:03,52.1231767,-6.708415,10,8,1,1.3,27,1.852,1,35,39
07/20/2021, 13:32:09,52.1234783,-6.7066733,0,8,1,1.3,28,0,3,33,40
07/20/2021, 13:37:14,52.1239883,-6.7050367,6,9,1,1.3,30,1.852,3,34,40
07/20/2021, 13:42:20,52.1241867,-6.7052217,2,9,1,1.3,30,48.152,3,37,40
07/20/2021, 13:47:25,52.1296533,-6.71011,0,9,1,1.2,28,1.852,3,36,41
07/20/2021, 13:52:30,52.1298,-6.7093233,0,9,1,1.2,30,1.852,3,37,41
07/20/2021, 13:57:35,52.1299733,-6.70837,0,9,0.9,1.2,30,0,3,35,40
07/20/2021, 14:02:41,52.12268,-6.7119167,0,9,0.9,1.2,27,1.852,3,36,40
07/20/2021, 14:07:46,52.12358,-6.7115333,2,10,0.8,1.1,27,31.484,3,36,41
07/20/2021, 14:12:51,52.1253933,-6.7255817,26,9,0.9,1.2,24,37.04,3,35,39
07/20/2021, 14:17:56,52.1249383,-6.72226,8,10,0.8,1.1,26,1.852,3,36,40
07/20/2021, 14:23:02,52.1247683,-6.7209733,-2,10,0.8,1.1,28,0,3,36,40
07/20/2021, 14:28:07,52.1144767,-6.72107,0,10,0.8,1.1,23,1.852,3,36,39
07/20/2021, 14:33:13,52.1146367,-6.7178433,14,10,0.8,1.1,25,1.852,3,35,39
07/20/2021, 14:38:18,52.1144333,-6.7156633,-8,9,0.9,1.2,27,1.852,3,35,40
07/20/2021, 14:43:24,52.1142517,-6.71276,0,9,0.9,1.2,30,1.852,3,36,41
07/20/2021, 14:48:30,52.1142283,-6.7101083,0,9,0.9,1.2,30,1.852,4,33,38
07/20/2021, 14:53:37,52.1139433,-6.7081,8,9,0.9,1.2,31,0,4,34,41
07/20/2021, 14:58:43,52.125575,-6.7136233,8,9,0.9,1.2,26,1.852,4,35,40
07/20/2021, 15:03:50,52.1249533,-6.7119433,8,9,0.9,1.2,28,1.852,4,34,42
07/20/2021, 15:08:56,52.1087333,-6.7114467,-6,8,1.2,1.5,25,0,4,34,40
07/20/2021, 15:14:11,52.107785,-6.7070533,-40,8,1.2,1.5,21,1.852,12,28,32
07/20/2021, 15:19:17,52.1075233,-6.7045983,-18,7,1.4,1.7,25,0,4,35,39
07/20/2021, 15:24:24,52.1071917,-6.7021317,-26,8,1.1,1.4,24,1.852,4,35,40
07/20/2021, 15:29:30,52.106825,-6.6995617,-14,8,1.1,1.4,27,1.852,4,35,40
07/20/2021, 15:34:37,52.10636,-6.6965933,-10,8,1.1,1.4,29,1.852,4,34,40
07/20/2021, 15:39:43,52.105945,-6.6937667,-16,8,1.1,1.4,30,1.852,4,34,40
07/20/2021, 15:44:50,52.1052033,-6.6909817,0,8,1.1,1.3,30,1.852,4,33,40
07/20/2021, 15:49:55,52.09133,-6.6985583,-24,8,1,1.3,26,42.596,3,36,40
07/20/2021, 15:55:01,52.0622783,-6.6968767,-28,8,1,1.3,25,0,3,35,41
07/20/2021, 16:00:06,52.0721167,-6.7180583,-8,7,1.6,3.1,24,46.3,3,37,40
