Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
06/25/2021, 21:17:27, 0., 0., -65536, 0, 0.0, 0.0, 17, 0, 63, 0, 0
06/25/2021, 21:23:59, 0., 0., -65536, 0, 0.0, 0.0, 21, 0, 63, 0, 0
06/25/2021, 21:30:30, 0., 0., -65536, 0, 0.0, 0.0, 23, 0, 63, 0, 0
06/25/2021, 21:37:02, 0., 0., -65536, 0, 0.0, 0.0, 25, 0, 63, 0, 0
06/25/2021, 21:43:34, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 21:50:06, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 21:56:37, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 22:03:09, 0., 0., -65536, 0, 0.0, 0.0, 27, 0, 63, 0, 0
06/25/2021, 22:09:41, 0., 0., -65536, 0, 0.0, 0.0, 27, 0, 63, 0, 0
06/25/2021, 22:16:13, 0., 0., -65536, 0, 0.0, 0.0, 27, 0, 63, 0, 0
06/25/2021, 22:22:45, 0., 0., -65536, 0, 0.0, 0.0, 28, 0, 63, 0, 0
06/25/2021, 22:29:16, 0., 0., -65536, 0, 0.0, 0.0, 28, 0, 63, 0, 0
06/25/2021, 22:35:48, 0., 0., -65536, 0, 0.0, 0.0, 27, 0, 63, 0, 0
06/25/2021, 22:42:20, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 22:48:52, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 22:55:23, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:01:55, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:08:27, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:14:59, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:21:30, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:28:02, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:34:34, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:41:06, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:47:37, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/25/2021, 23:54:09, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/26/2021, 00:00:41, 0., 0., -65536, 0, 0.0, 0.0, 26, 0, 63, 0, 0
06/26/2021, 00:07:13, 0., 0., -65536, 0, 0.0, 0.0, 27, 0, 63, 0, 0
06/26/2021, 00:13:45, 0., 0., -65536, 0, 0.0, 0.0, 27, 0, 63, 0, 0
06/26/2021, 00:20:16, 0., 0., -65536, 0, 0.0, 0.0, 28, 0, 63, 0, 0
