Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
08/01/2021, 01:03:01,52.1398033,-6.5878033,-4,4,1.6,1.9,22,0,51,31,41
08/01/2021, 01:08:13,52.143,-6.595085,-28,4,1.6,1.9,24,0,10,36,39
08/01/2021, 01:13:26,52.1482967,-6.6054767,-22,4,1.7,1.9,20,0,11,35,39
08/01/2021, 01:18:37,52.1482283,-6.6063133,-34,4,1.7,2,19,1.852,9,35,40
08/01/2021, 01:23:51,52.1479583,-6.6111217,-28,4,1.7,2,20,29.632,11,34,40
08/01/2021, 01:29:11,52.150395,-6.6309633,-44,4,1.8,2,21,0,18,34,38
08/01/2021, 01:34:48,52.149275,-6.6316367,-2,8,0.9,1.2,22,0,35,31,38
08/01/2021, 01:40:01,52.1484333,-6.6317767,2,8,0.9,1.2,19,0,11,28,39
08/01/2021, 01:45:14,52.1471933,-6.6402167,0,8,0.9,1.2,20,33.336,10,34,40
08/01/2021, 01:50:25,52.1474367,-6.6682083,0,8,0.9,1.1,20,0,9,33,38
08/01/2021, 01:55:38,52.1465417,-6.6681717,-2,8,0.9,1.1,21,0,10,32,39
08/01/2021, 02:00:49,52.1456417,-6.6681567,0,7,1.2,1.5,23,0,9,32,39
08/01/2021, 02:06:01,52.1447433,-6.6680717,0,7,1.2,1.4,23,0,10,31,39
08/01/2021, 02:11:13,52.14339,-6.6690533,8,7,1.2,1.4,23,0,10,32,40
08/01/2021, 02:16:26,52.1425,-6.66902,4,6,1.3,1.5,23,0,10,33,39
08/01/2021, 02:21:37,52.1415783,-6.6688767,6,5,1.5,1.7,23,0,9,33,38
08/01/2021, 02:26:49,52.1407433,-6.6688733,4,5,1.5,1.7,24,0,10,32,39
08/01/2021, 02:32:02,52.1398733,-6.668815,0,5,1.4,1.7,24,1.852,10,33,39
08/01/2021, 02:37:13,52.139005,-6.6686017,12,5,1.4,1.7,24,0,9,34,39
08/01/2021, 02:42:25,52.1380267,-6.668365,0,4,2.9,3,24,1.852,10,34,39
08/01/2021, 02:47:38,52.1370867,-6.667815,-18,4,2.6,2.8,24,1.852,10,35,39
08/01/2021, 02:52:49,52.1360267,-6.667115,-12,4,2.5,2.6,24,0,9,33,39
08/01/2021, 02:58:02,52.134985,-6.6667583,-22,5,1.3,1.6,24,0,11,34,38
08/01/2021, 03:03:13,52.1340467,-6.6666467,-14,4,2.2,2.4,24,0,9,33,39
