Name:Catlog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
04/07/2021, 18:22:30, 48.902455, 9.2035017, 108, 4, 3.4, 3.6, 24, 0, 45, 39, 41
04/07/2021, 18:23:05, 48.90556, 9.2000583, 108, 4, 3.4, 3.5, 22, 0, 3, 37, 41
04/07/2021, 18:23:40, 48.90493, 9.2011417, 108, 4, 3.4, 3.5, 21, 0, 3, 38, 43
04/07/2021, 18:24:15, 48.9050117, 9.2006933, 108, 4, 3.4, 3.5, 20, 0, 3, 39, 42
04/07/2021, 18:24:51, 48.9046033, 9.2013067, 108, 4, 3.3, 3.5, 19, 0, 3, 38, 41
04/07/2021, 18:25:26, 48.90502, 9.2006, 108, 4, 3.3, 3.5, 18, 0, 3, 36, 39
04/07/2021, 18:26:03, 48.9056983, 9.19964, 108, 4, 3.3, 3.4, 18, 0, 5, 39, 44
04/07/2021, 18:26:49, 48.8982767, 9.2096133, 220, 4, 3.2, 3.4, 17, 0, 13, 33, 38
04/07/2021, 18:27:31, 48.9005867, 9.2080667, 114, 4, 3.2, 3.4, 17, 0, 10, 32, 35
06/21/2021, 00:23:01, 52.14042, -6.5924417, 6, 5, 1.4, 1.7, 27, 0, 37, 36, 40
06/21/2021, 00:28:13, 52.1421533, -6.59524, 12, 7, 1.3, 1.6, 19, 5.556, 10, 34, 39
06/21/2021, 00:33:25, 52.143015, -6.5944733, -6, 6, 1.5, 1.8, 19, 0, 10, 32, 39
06/21/2021, 00:38:37, 52.1452983, -6.597705, 2, 6, 1.5, 1.8, 20, 0, 9, 35, 40
06/21/2021, 00:43:49, 52.1450633, -6.59604, 4, 7, 1.3, 1.6, 21, 1.852, 10, 35, 38
06/21/2021, 00:49:02, 52.1453983, -6.5947217, 10, 7, 1.4, 1.6, 21, 1.852, 10, 35, 38
06/21/2021, 00:54:13, 52.1451567, -6.5926933, 6, 6, 1.5, 1.7, 21, 1.852, 9, 35, 37
