day,month,year,hour,minute,second,abs.second,sats,Latitude,Longitude,Altitude,var1,var2,var3
23,07,21,02,59,50,10790.840,5,52.161146,-6.649744,60.00,9999.999,0.000001266479,4.14
23,07,21,03,04,50,11090.700,5,52.159840,-6.649873,-30.75,-0.230,0.000000951943,4.14
23,07,21,03,09,50,11390.390,5,52.161773,-6.648220,15.50,-0.520,0.000000053373,4.14
23,07,21,03,14,56,11696.500,5,52.159958,-6.653928,45.00,-0.700,0.000001184029,4.14
23,07,21,03,19,51,11991.360,5,52.155343,-6.669096,54.25,-0.660,0.000000309731,4.14
23,07,21,03,24,48,12288.880,7,52.155142,-6.668109,54.75,-0.360,0.000004761109,4.14
23,07,21,03,30,00,12600.460,6,52.154644,-6.675059,72.75,-0.180,0.000001845382,4.14
23,07,21,03,35,01,12901.350,6,52.155618,-6.676157,53.00,-0.505,0.000003089284,4.14
23,07,21,03,40,04,13204.375,6,52.155129,-6.682663,48.50,-0.800,0.000002182142,4.14
23,07,21,03,46,01,13561.610,6,52.155640,-6.681837,50.00,-0.655,0.000001637354,4.14
23,07,21,03,51,01,13861.375,6,52.156476,-6.681468,49.50,-0.435,0.000002151908,4.14
23,07,21,03,56,02,14162.885,6,52.148591,-6.690671,57.00,-0.260,0.000003904559,4.14
23,07,21,04,01,01,14461.890,7,52.149166,-6.691501,61.75,-0.025,0.000001908471,4.14
23,07,21,04,06,05,14765.445,6,52.149245,-6.690859,62.25,-0.215,0.000002717974,4.14
23,07,21,04,11,08,15068.395,5,52.149351,-6.690237,38.50,-0.675,0.000000494770,4.12
23,07,21,04,16,16,15376.415,5,52.146238,-6.694129,45.75,-0.825,0.000000489685,4.14
23,07,21,04,21,15,15675.905,7,52.145908,-6.692529,47.25,-0.415,0.000002171386,4.14
23,07,21,04,26,59,16019.045,6,52.145923,-6.691216,46.50,0.180,0.000002720008,4.14
23,07,21,04,32,02,16322.900,5,52.152670,-6.706282,32.50,0.270,0.000000930230,4.14
23,07,21,04,36,58,16618.900,6,52.151487,-6.705654,59.75,-0.055,0.000001245266,4.14
23,07,21,04,42,05,16925.465,6,52.149604,-6.704027,38.50,-0.480,0.000001922965,4.14
23,07,21,04,47,06,17226.920,6,52.149723,-6.702758,38.75,-0.520,0.000001155585,4.12
23,07,21,04,52,09,17529.310,5,52.120211,-6.699524,112.00,-0.405,0.000001099276,4.14
23,07,21,04,57,07,17827.915,6,52.110468,-6.713342,52.00,-0.330,0.000005144931,4.14
23,07,21,05,02,10,18130.420,6,52.110438,-6.711194,49.75,-0.295,0.000004289581,4.14
23,07,21,05,07,10,18430.455,5,52.111118,-6.710544,63.75,-0.545,0.000000280652,4.14
23,07,21,05,12,09,18729.425,6,52.111753,-6.715777,57.00,-0.685,0.000004256118,4.14
23,07,21,05,17,09,19029.925,7,52.109841,-6.768418,43.50,-0.395,0.000006422942,4.12
23,07,21,05,22,08,19328.945,7,52.115499,-6.819981,61.00,0.080,0.000003190805,4.12
23,07,21,05,27,08,19628.960,7,52.125600,-6.866971,45.50,0.190,0.000004227100,4.12
23,07,21,05,32,08,19928.930,9,52.112742,-6.898023,52.75,0.000,0.000004782822,4.12
23,07,21,05,37,09,20229.430,8,52.107813,-6.941676,53.50,-0.415,0.000004937425,4.14
23,07,21,05,42,09,20529.925,7,52.107440,-6.994382,58.75,-0.530,0.000006819978,4.14
23,07,21,05,47,10,20830.940,8,52.107178,-7.049519,51.50,-0.125,0.000005375944,4.12
23,07,21,05,52,11,21131.955,5,52.108940,-7.105332,65.75,0.150,0.000000379817,4.14
23,07,21,05,57,10,21430.450,7,52.096734,-7.150296,61.50,-0.160,0.000004255036,4.12
23,07,21,06,02,10,21730.440,7,52.095551,-7.202931,49.25,-0.710,0.000002704014,4.12
