Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
04/07/2021, 18:22:30, 48.9027333, 9.203445, 270, 5, 3.1, 3.3, 22, 0, 50, 37, 41
04/07/2021, 18:23:03, 48.9024667, 9.20376, 270, 4, 3.1, 3.3, 20, 0, 1, 37, 41
04/07/2021, 18:23:37, 48.902715, 9.203255, 270, 5, 3.1, 3.2, 18, 0, 1, 39, 44
04/07/2021, 18:24:10, 48.9026433, 9.2032817, 270, 5, 3.1, 3.2, 16, 0, 1, 38, 43
04/07/2021, 18:24:51, 48.90271, 9.2040733, 270, 4, 3.1, 3.2, 15, 0, 9, 33, 40
04/07/2021, 18:25:31, 48.9033333, 9.20284, 266, 5, 3.0, 3.2, 14, 1.852, 8, 33, 41
04/07/2021, 18:26:09, 48.902695, 9.2034267, 268, 5, 3.0, 3.2, 14, 0, 5, 39, 45
04/07/2021, 18:26:47, 48.9025467, 9.2037133, 268, 5, 3.0, 3.2, 12, 1.852, 6, 36, 41
04/07/2021, 18:27:22, 48.90277, 9.2033267, 270, 5, 3.0, 3.1, 12, 1.852, 3, 36, 42
06/29/2021, 02:22:00, 52.1391117, -6.6122817, -8, 9, 0.9, 1.2, 20, 25.928, 36, 36, 40
06/29/2021, 02:27:13, 52.1421517, -6.63018, -4, 9, 0.9, 1.2, 18, 1.852, 11, 35, 40
06/29/2021, 02:32:26, 52.1434483, -6.64136, -4, 9, 0.9, 1.2, 16, 0, 10, 37, 41
06/29/2021, 02:37:37, 52.1454867, -6.6492183, -6, 8, 1.0, 1.3, 17, 0, 9, 37, 42
06/29/2021, 02:42:50, 52.1477233, -6.663725, -6, 7, 1.2, 1.5, 17, 24.076, 10, 36, 40
06/29/2021, 02:48:01, 52.1478717, -6.6647967, -6, 8, 0.9, 1.3, 18, 0, 9, 35, 42
