day,month,year,hour,minute,second,abs.second,sats,Latitude,Longitude,Altitude,var1,var2,var3
22,07,21,03,00,20,10820.930,7,52.134681,-6.617090,43.50,9999.999,0.000002151530,4.14
22,07,21,03,05,22,11122.480,6,52.136621,-6.656722,55.75,-0.295,0.000002831055,4.14
22,07,21,03,10,25,11425.955,5,52.135986,-6.656214,78.50,-0.395,0.000000917358,4.14
22,07,21,03,15,25,11725.475,6,52.135306,-6.655278,43.50,-0.335,0.000003641076,4.14
22,07,21,03,20,24,12024.475,6,52.134648,-6.654591,60.25,-0.495,0.000004543586,4.14
22,07,21,03,25,25,12325.485,6,52.134035,-6.653820,55.25,-0.600,0.000002718379,4.14
22,07,21,03,30,28,12628.500,5,52.133701,-6.653555,2.00,-0.560,0.000000488324,4.14
22,07,21,03,35,26,12926.490,7,52.132726,-6.653147,57.75,-0.485,0.000004756753,4.14
22,07,21,03,40,27,13227.485,6,52.132075,-6.652514,53.25,-0.475,0.000003787769,4.14
22,07,21,03,45,29,13529.485,6,52.131421,-6.651972,48.50,-0.510,0.000003062675,4.14
22,07,21,03,50,29,13829.020,6,52.133659,-6.658874,102.00,-0.265,0.000001078115,4.14
22,07,21,03,55,29,14129.505,7,52.137235,-6.708812,52.00,-0.115,0.000003551532,4.14
22,07,21,04,00,30,14430.505,7,52.138597,-6.728525,55.00,-0.420,0.000002975372,4.14
22,07,21,04,05,30,14730.500,7,52.138693,-6.728025,52.25,-0.650,0.000004048944,4.14
22,07,21,04,10,31,15031.510,6,52.138731,-6.727071,56.75,-0.610,0.000001676906,4.14
22,07,21,04,15,35,15335.510,6,52.138835,-6.726420,41.75,-0.470,0.000001042357,4.14
22,07,21,04,20,39,15639.560,5,52.139045,-6.725419,34.75,-0.395,0.000001398052,4.12
22,07,21,04,25,36,15936.015,6,52.150560,-6.741561,62.50,-0.175,0.000005705350,4.12
22,07,21,04,30,36,16236.015,7,52.156391,-6.792814,70.50,0.125,0.000003602561,4.14
22,07,21,04,35,36,16536.025,7,52.158778,-6.844964,54.50,0.170,0.000001547384,4.12
22,07,21,04,40,37,16837.530,6,52.138067,-6.895927,43.75,-0.200,0.000002040440,4.14
22,07,21,04,45,37,17137.020,8,52.119231,-6.946000,84.75,-0.410,0.000005564341,4.14
22,07,21,04,50,37,17437.030,6,52.125544,-6.999514,47.50,-0.080,0.000004706360,4.14
22,07,21,04,55,37,17737.050,7,52.127415,-7.054703,55.00,0.205,0.000001928449,4.12
22,07,21,05,00,37,18037.065,7,52.120425,-7.112312,26.50,0.200,0.000000733400,4.12
22,07,21,05,05,40,18340.570,5,52.116416,-7.171833,26.00,-0.185,0.000000207865,4.14
22,07,21,05,10,38,18638.075,6,52.119523,-7.229235,67.25,-0.370,0.000003560822,4.12
22,07,21,05,15,38,18938.550,7,52.119554,-7.283817,62.75,-0.280,0.000004898701,4.12
22,07,21,05,22,40,19360.710,5,52.110657,-7.324945,70.00,-0.325,0.000000655102,4.12
22,07,21,05,28,38,19718.655,5,52.111029,-7.325064,90.00,-0.340,0.000000234596,4.12
22,07,21,05,34,36,20076.670,6,52.111165,-7.325181,97.25,-0.345,0.000004777576,4.14
22,07,21,05,40,12,20412.665,5,52.111314,-7.325289,94.50,-0.335,0.000000409759,4.14
22,07,21,05,45,32,20732.615,5,52.111476,-7.325417,112.00,-0.355,0.000000582629,4.14
22,07,21,05,50,48,21048.135,6,52.111164,-7.325606,59.25,-0.135,0.000001429152,4.14
22,07,21,05,55,48,21348.055,6,52.111395,-7.326038,79.00,0.205,0.000000566938,4.12
22,07,21,06,00,48,21648.555,6,52.111009,-7.326163,8.50,-0.025,0.000001286035,4.14
22,07,21,06,05,55,21955.655,5,52.111353,-7.325815,96.25,-0.510,0.000000988553,4.12
22,07,21,06,11,01,22261.590,6,52.111405,-7.326200,49.75,-0.620,0.000004170024,4.14
22,07,21,06,16,09,22569.090,5,52.111973,-7.326451,117.25,-0.215,0.000000449504,4.12
22,07,21,06,21,08,22868.615,5,52.108129,-7.325415,110.00,0.055,0.000000492168,4.14
22,07,21,06,26,06,23166.595,7,52.103373,-7.374037,47.25,-0.260,0.000003087953,4.12
22,07,21,06,31,07,23467.600,7,52.104544,-7.403252,46.25,-0.560,0.000002976819,4.12
22,07,21,06,36,08,23768.610,7,52.104465,-7.403674,52.50,-0.545,0.000003019702,4.14
22,07,21,06,41,09,24069.615,7,52.104397,-7.404009,51.25,-0.380,0.000004371306,4.12
22,07,21,06,46,11,24371.610,6,52.104327,-7.404206,33.50,-0.305,0.000001927583,4.14
22,07,21,06,51,12,24672.625,6,52.104218,-7.404517,42.50,-0.345,0.000003049995,4.12
22,07,21,06,56,12,24972.615,7,52.104053,-7.404935,40.00,-0.400,0.000001696900,4.14
22,07,21,07,01,13,25273.120,7,52.100801,-7.408245,46.25,-0.160,0.000002689871,4.12
22,07,21,07,06,13,25573.130,10,52.089087,-7.441927,52.75,0.245,0.000007469334,4.12
22,07,21,07,11,14,25874.635,6,52.071623,-7.494319,63.00,0.085,0.000004647955,4.14
22,07,21,07,16,14,26174.645,8,52.037079,-7.504104,55.25,-0.440,0.000006212340,4.14
22,07,21,07,21,30,26490.660,5,52.026810,-7.497272,-3.50,-0.610,0.000000418852,4.12
22,07,21,07,26,29,26789.640,6,52.026921,-7.496717,38.50,-0.435,0.000001367165,4.12
22,07,21,07,31,30,27090.655,6,52.021706,-7.496585,34.50,-0.265,0.000000912679,4.12
22,07,21,07,36,43,27403.685,5,52.023141,-7.506038,-26.50,-0.245,0.000000887467,4.12
22,07,21,07,41,42,27702.655,6,52.023693,-7.506061,49.00,-0.320,0.000001653028,4.12
22,07,21,07,46,43,28003.170,7,52.023092,-7.506665,41.25,-0.125,0.000001275364,4.12
22,07,21,07,51,43,28303.665,6,52.022729,-7.507718,37.50,0.015,0.000001674014,4.12
22,07,21,07,56,44,28604.675,6,52.023903,-7.506074,32.75,-0.260,0.000001213036,4.12
22,07,21,08,01,47,28907.690,5,52.023383,-7.506763,43.00,-0.455,0.000000205578,4.12
22,07,21,08,06,47,29207.705,5,52.023002,-7.507582,50.00,-0.400,0.000000265870,4.12
22,07,21,08,11,48,29508.660,5,52.023337,-7.505586,26.75,-0.290,0.000000384705,4.12
22,07,21,08,16,47,29807.690,6,52.022595,-7.506420,47.00,-0.270,0.000001101234,4.12
22,07,21,08,21,55,30115.520,5,52.022256,-7.506738,40.75,0.115,0.000000136214,4.12
22,07,21,08,26,48,30408.705,6,52.021802,-7.507426,47.25,9999.999,0.000001224638,4.12
22,07,21,08,31,51,30711.745,5,52.021109,-7.507407,53.50,-0.275,0.000000227551,4.12
22,07,21,08,36,50,31010.745,6,52.020746,-7.507858,35.50,-0.450,0.000001457294,4.12
22,07,21,08,41,53,31313.740,5,52.023977,-7.505171,33.75,-0.345,0.000000110134,4.12
22,07,21,08,46,51,31611.705,8,52.024295,-7.505668,56.25,-0.225,0.000004121403,4.12
22,07,21,08,51,52,31912.705,7,52.008306,-7.514047,63.00,-0.235,0.000001971059,4.12
22,07,21,08,56,56,32216.685,5,51.994614,-7.522757,41.50,-0.310,0.000000207206,4.12
22,07,21,09,01,55,32515.700,6,51.994816,-7.521927,25.75,-0.345,0.000001632766,4.12
22,07,21,09,06,58,32818.705,5,51.994353,-7.522741,34.25,-0.315,0.000000680496,4.12
22,07,21,09,11,55,33115.715,7,51.993723,-7.523806,38.75,-0.275,0.000001427324,4.12
22,07,21,09,16,56,33416.715,7,51.993134,-7.524988,41.00,-0.265,0.000001643286,4.12
22,07,21,09,21,58,33718.215,8,51.992621,-7.525990,60.25,-0.030,0.000006687227,4.12
22,07,21,09,26,57,34017.730,7,51.991984,-7.526869,41.50,0.090,0.000001562349,4.12
22,07,21,09,32,01,34321.700,5,51.991515,-7.528338,58.75,-0.225,0.000000305478,4.12
22,07,21,09,36,59,34619.735,7,51.990767,-7.528874,32.75,-0.440,0.000002843156,4.12
22,07,21,09,42,00,34920.240,7,51.990470,-7.530170,31.00,-0.120,0.000003044110,4.12
22,07,21,09,47,00,35220.740,7,51.989816,-7.531411,28.25,0.150,0.000003730384,4.12
22,07,21,09,52,01,35521.740,7,51.989292,-7.532368,22.50,-0.125,0.000002831488,4.12
22,07,21,09,57,02,35822.745,7,51.988738,-7.533263,34.75,-0.395,0.000005677076,4.12
22,07,21,10,02,04,36124.745,6,51.988052,-7.534218,22.25,-0.390,0.000001386041,4.12
22,07,21,10,07,04,36424.770,7,51.987736,-7.535400,41.25,-0.240,0.000005645794,4.12
22,07,21,10,12,04,36724.740,7,51.986921,-7.536764,83.75,-0.170,0.000010846048,4.12
22,07,21,10,17,05,37025.750,8,51.986463,-7.537703,55.50,-0.220,0.000006846779,4.12
