year,month,day,hour,minute,second,var1,pressure,depth
21,07,23,06,16,51,17.50,1201.50,-0002.03
21,07,23,06,16,53,17.50,1264.50,-0002.66
21,07,23,06,16,55,17.50,1328.50,-0003.30
21,07,23,06,16,57,17.00,1290.50,-0002.92
21,07,23,06,16,59,17.00,1271.50,-0002.73
21,07,23,06,17,01,17.00,1155.50,-0001.56
21,07,23,06,17,03,17.00,1208.50,-0002.10
21,07,23,06,17,33,17.50,1136.00,-0001.37
21,07,23,06,17,35,17.00,1296.00,-0002.98
21,07,23,06,17,37,17.00,1624.00,-0006.28
21,07,23,06,17,39,16.50,1771.00,-0007.76
21,07,23,06,17,41,16.50,1653.50,-0006.57
21,07,23,06,17,43,16.50,1359.00,-0003.61
21,07,23,07,05,18,18.50,1115.50,-0001.16
21,07,23,07,05,20,18.50,1389.00,-0003.91
21,07,23,07,05,22,18.50,1706.50,-0007.11
21,07,23,07,05,24,18.00,1906.00,-0009.11
21,07,23,07,05,26,17.50,2004.00,-0010.10
21,07,23,07,05,28,17.00,2067.50,-0010.74
21,07,23,07,05,30,17.00,2029.50,-0010.36
21,07,23,07,05,32,17.00,1956.00,-0009.62
21,07,23,07,05,34,17.00,1962.00,-0009.68
21,07,23,07,05,36,17.50,1979.00,-0009.85
21,07,23,07,05,38,17.00,2040.50,-0010.47
21,07,23,07,05,40,16.50,1994.00,-0010.00
21,07,23,07,05,42,17.00,1824.50,-0008.29
21,07,23,07,05,44,17.50,1768.00,-0007.73
21,07,23,07,05,46,17.50,1663.00,-0006.67
21,07,23,07,05,48,17.50,1596.50,-0006.00
21,07,23,07,05,50,18.00,1701.50,-0007.06
21,07,23,07,05,52,18.00,1426.00,-0004.29
21,07,23,07,07,26,18.00,1224.00,-0002.25
21,07,23,07,07,28,18.00,1514.50,-0005.18
21,07,23,07,07,30,18.00,1662.00,-0006.66
21,07,23,07,07,32,18.00,1719.00,-0007.23
21,07,23,07,07,34,18.00,1713.50,-0007.18
21,07,23,07,07,36,18.00,1547.00,-0005.50
21,07,23,07,07,38,18.00,1566.50,-0005.70
21,07,23,07,07,40,18.00,1555.00,-0005.58
21,07,23,07,07,42,18.00,1601.50,-0006.05
21,07,23,07,07,44,18.00,1532.00,-0005.35
21,07,23,07,07,46,18.00,1447.50,-0004.50
21,07,23,07,07,48,18.00,1474.50,-0004.77
21,07,23,07,07,50,18.00,1191.50,-0001.93
21,07,23,07,08,16,18.50,1355.50,-0003.58
21,07,23,07,08,18,18.50,1629.00,-0006.33
21,07,23,07,08,20,18.00,1879.00,-0008.84
21,07,23,07,08,22,17.50,2009.00,-0010.15
21,07,23,07,08,24,17.50,2007.50,-0010.14
21,07,23,07,08,26,17.00,2099.50,-0011.06
21,07,23,07,08,28,17.00,2012.50,-0010.19
21,07,23,07,08,30,17.50,1756.50,-0007.61
21,07,23,07,08,32,17.50,1418.00,-0004.21
21,07,23,07,22,13,19.00,1197.50,-0001.99
21,07,23,07,22,15,19.00,1480.50,-0004.83
21,07,23,07,22,17,18.50,1697.50,-0007.02
21,07,23,07,22,19,18.50,1938.50,-0009.44
21,07,23,07,22,21,18.50,2155.00,-0011.62
21,07,23,07,22,23,18.00,2292.00,-0013.00
21,07,23,07,22,25,17.00,2419.00,-0014.28
21,07,23,07,22,27,16.50,2427.50,-0014.36
21,07,23,07,22,29,16.00,2655.50,-0016.65
21,07,23,07,22,31,16.00,2520.00,-0015.29
21,07,23,07,22,33,16.00,2240.50,-0012.48
21,07,23,07,22,35,17.00,1936.00,-0009.42
21,07,23,07,22,37,17.00,1620.00,-0006.24
21,07,23,07,22,39,17.50,1296.50,-0002.98
21,07,23,07,42,59,19.50,1215.00,-0002.16
21,07,23,07,43,01,19.00,1503.00,-0005.06
21,07,23,07,43,02,19.00,1630.50,-0006.34
21,07,23,07,43,04,18.50,1833.50,-0008.39
21,07,23,07,43,06,18.00,1936.50,-0009.42
21,07,23,07,43,08,17.50,1943.00,-0009.49
21,07,23,07,43,10,17.00,1898.50,-0009.04
21,07,23,07,43,12,17.00,1849.50,-0008.55
21,07,23,07,43,14,17.50,1794.50,-0007.99
21,07,23,07,43,16,17.50,1742.00,-0007.46
21,07,23,07,43,18,17.50,1691.50,-0006.96
21,07,23,07,43,20,17.50,1633.50,-0006.37
21,07,23,07,43,22,18.00,1581.00,-0005.84
21,07,23,07,43,24,18.00,1528.00,-0005.31
21,07,23,07,43,26,18.00,1471.00,-0004.74
21,07,23,07,43,28,18.00,1351.00,-0003.53
21,07,23,09,24,18,20.00,1393.00,-0003.95
21,07,23,09,24,20,20.00,1716.00,-0007.20
21,07,23,09,24,22,19.00,1865.50,-0008.71
21,07,23,09,24,24,19.00,1703.00,-0007.07
21,07,23,09,24,26,19.50,1369.50,-0003.72
21,07,23,09,24,28,19.50,1179.00,-0001.80
21,07,23,09,36,38,20.00,1484.00,-0004.87
21,07,23,09,36,40,19.50,1877.00,-0008.82
21,07,23,09,36,42,18.50,2184.50,-0011.92
21,07,23,09,36,44,17.50,2289.00,-0012.97
21,07,23,09,36,46,17.00,2264.50,-0012.72
21,07,23,09,36,48,17.00,2384.00,-0013.92
21,07,23,09,36,50,16.50,2479.50,-0014.88
21,07,23,09,36,52,16.00,2534.50,-0015.44
21,07,23,09,36,54,16.00,2429.50,-0014.38
21,07,23,09,36,56,16.00,2174.00,-0011.81
21,07,23,09,36,58,16.50,1882.50,-0008.88
21,07,23,09,37,00,17.50,1572.00,-0005.75
21,07,23,09,37,02,18.00,1236.00,-0002.37
21,07,23,10,07,22,19.50,1156.00,-0001.57
21,07,23,10,07,24,19.50,1461.00,-0004.64
21,07,23,10,07,26,19.00,1771.50,-0007.76
21,07,23,10,07,28,18.00,2055.50,-0010.62
21,07,23,10,07,30,17.50,2105.50,-0011.12
21,07,23,10,07,32,17.00,2005.50,-0010.12
21,07,23,10,07,34,17.50,1756.50,-0007.61
21,07,23,10,07,36,18.50,1439.00,-0004.42
21,07,23,10,34,22,21.00,1299.00,-0003.01
21,07,23,10,34,24,20.50,1228.50,-0002.30
21,07,23,10,47,51,21.00,1184.00,-0001.85
21,07,23,10,47,53,20.50,1451.00,-0004.54
21,07,23,10,47,55,20.00,1584.50,-0005.88
21,07,23,10,47,57,19.50,1736.50,-0007.41
21,07,23,10,47,59,19.00,1717.00,-0007.21
21,07,23,10,48,01,19.00,1626.00,-0006.30
21,07,23,10,48,03,19.50,1553.50,-0005.57
21,07,23,10,48,05,19.00,1653.50,-0006.57
21,07,23,10,48,07,19.00,1550.50,-0005.54
21,07,23,10,48,09,19.00,1819.00,-0008.24
21,07,23,10,48,11,18.00,2126.50,-0011.33
21,07,23,10,48,13,17.00,2352.00,-0013.60
21,07,23,10,48,15,16.50,2395.00,-0014.03
21,07,23,10,48,17,16.00,2355.50,-0013.64
21,07,23,10,48,19,16.00,2278.50,-0012.86
21,07,23,10,48,21,15.50,2232.50,-0012.40
21,07,23,10,48,23,15.50,2298.50,-0013.06
21,07,23,10,48,25,15.50,2282.50,-0012.90
21,07,23,10,48,27,15.50,2078.50,-0010.85
21,07,23,10,48,29,16.00,1791.00,-0007.96
21,07,23,10,48,31,17.00,1479.50,-0004.82
21,07,23,10,48,33,18.00,1144.00,-0001.45
21,07,23,18,34,24,21.50,1135.00,-0001.36
21,07,23,18,34,26,20.50,1482.50,-0004.85
21,07,23,18,34,28,20.00,1800.00,-0008.05
21,07,23,18,34,30,19.50,1913.00,-0009.18
21,07,23,18,34,32,19.00,1935.00,-0009.41
21,07,23,18,34,34,18.00,2137.50,-0011.44
21,07,23,18,34,36,17.50,2093.50,-0011.00
21,07,23,18,34,38,17.00,2160.00,-0011.67
21,07,23,18,34,40,17.00,2030.50,-0010.37
21,07,23,18,34,42,17.00,2003.00,-0010.09
21,07,23,18,34,44,17.50,1757.50,-0007.62
21,07,23,18,34,46,18.00,1459.50,-0004.62
21,07,23,18,35,26,20.00,1258.00,-0002.60
21,07,23,18,35,28,20.00,1538.50,-0005.42
21,07,23,18,35,30,19.00,1888.00,-0008.93
21,07,23,18,35,32,18.00,2223.00,-0012.30
21,07,23,18,35,34,17.00,2562.50,-0015.72
21,07,23,18,35,36,16.50,2586.50,-0015.96
21,07,23,18,35,38,16.00,2597.50,-0016.07
21,07,23,18,35,40,15.50,2633.00,-0016.43
21,07,23,18,35,42,15.50,2659.50,-0016.69
21,07,23,18,35,44,15.00,2636.50,-0016.46
21,07,23,18,35,46,15.00,2638.50,-0016.48
21,07,23,18,35,48,15.00,2665.00,-0016.75
21,07,23,18,35,50,14.50,2659.00,-0016.69
21,07,23,18,35,52,14.50,2669.00,-0016.79
21,07,23,18,35,54,14.50,2674.00,-0016.84
21,07,23,18,35,56,14.50,2571.00,-0015.80
21,07,23,18,35,58,15.00,2315.50,-0013.23
