transectlengthkm,mxobserved,densitykm2,area_surveyedkm2,Longitude,Latitude,gridsizekm2
4.137835038,0,0,1.655134015,-6.135035086,52.37931643,16000000
4.140691834,0,0,1.656276734,-7.329982643,51.86274764,16000000
0,0,,0,-7.753323406,51.2565322,16000000
4.14277,0,0,1.657108,-8.669409571,51.40657594,16000000
4.139361917,0,0,1.655744767,-5.925213907,52.01428475,15905903.65
0,0,,0,-8.154522125,51.26011745,16000000
4.13936191,1,0.603957821,1.655744764,-6.274507179,52.02289015,16000000
4.783964244,1,0.522579157,1.913585698,-6.039251811,52.05318377,16000000
3.032159054,0,0,1.212863622,-8.324904946,51.36912978,16000000
0,0,,0,,,222283.2053
0,0,,0,-7.515990691,51.5055559,16000000
4.139187772,4,2.41593292,1.655675109,-6.211807088,52.09336964,16000000
4.793820428,119,62.05906218,1.917528171,-7.380287791,52.07925588,16000000
0,0,,0,-6.062012928,52.59336085,16000000
0,0,,0,-6.946444783,51.35307489,16000000
4.180144073,7,4.186458575,1.672057629,-7.096232194,51.89516571,16000000
0,0,,0,-5.737550159,52.18911984,16000000
4.790324358,0,0,1.916129743,-7.736492688,51.86781636,16000000
4.13821675,15,9.061874296,1.6552867,-5.907838287,52.26566077,16000000
0,0,,0,-7.34576293,51.43133735,16000000
0,0,,0,-6.648404711,51.56331256,16000000
2.07961065,0,0,0.83184426,-5.798552166,52.15481576,16000000
4.140138746,1,0.603844497,1.656055498,-7.093186666,51.96705442,16000000
4.142017136,1,0.603570656,1.656806855,-8.206254926,51.58419304,16000000
0,0,,0,-7.105292917,51.67949352,16000000
0,0,,0,-8.210609727,51.33244691,16000000
4.787103263,1,0.522236489,1.914841305,-8.4953036,51.54982499,16000000
0.527076204,0,0,0.210830482,,,185212.1044
4.13963104,8,4.831348448,1.655852416,-6.102160874,51.98279901,16000000
3.89787877,0,0,1.559151508,-6.616310604,52.17418905,13158981.21
4.140631786,1,0.603772595,1.656252714,-6.749498361,51.85307209,16000000
0,0,,0,-7.629063743,51.57887009,16000000
1.967286877,0,0,0.786914751,,,11299362.02
0,0,,0,-6.835029393,51.27912083,16000000
4.141772109,0,0,1.656708843,-7.800306928,51.65268157,16000000
4.142138123,0,0,1.656855249,-8.66862911,51.5144756,16000000
